T1,T2,H1,H2,M1,M2,R1,R2
Livia PLD,Arg DRK,Celaena WHM,Kat AST,Blyze MNK,Lloyd DRG,Sonja SMN,Leone RDM
Prims PLD,Leone GNB,Blyze SCH,Celaena AST,Arg DRG,Livia NIN,Kat DNC,Sonja RDM
Blyze PLD,Prims DRK,Kat WHM,Celaena AST,Arg DRG,Leone NIN,Sonja BRD,Livia DNC
Livia PLD,Prims DRK,Kat WHM,Blyze AST,Leone MNK,Lloyd DRG,Arg SMN,Sonja RDM
Blyze PLD,Arg DRK,Celaena WHM,Livia AST,Lloyd DRG,Prims SAM,Kat BRD,Sonja MCH
Livia PLD,Arg DRK,Celaena WHM,Blyze SCH,Lloyd DRG,Prims SAM,Kat BRD,Sonja BLM
Celaena PLD,Prims DRK,Blyze WHM,Livia AST,Leone MNK,Arg DRG,Sonja BLM,Kat RDM
Celaena PLD,Arg DRK,Kat WHM,Blyze AST,Livia NIN,Prims SAM,Sonja DNC,Leone RDM
Prims PLD,Livia DRK,Blyze WHM,Celaena AST,Lloyd DRG,Leone NIN,Sonja MCH,Arg SMN
Sonja PLD,Prims DRK,Blyze WHM,Celaena AST,Leone MNK,Livia DRG,Kat BRD,Arg SMN
Prims PLD,Arg DRK,Celaena WHM,Livia AST,Leone MNK,Blyze SAM,Kat BRD,Sonja SMN
Prims DRK,Sonja GNB,Celaena WHM,Blyze AST,Leone MNK,Livia NIN,Arg SMN,Kat RDM
Prims PLD,Arg DRK,Blyze SCH,Celaena AST,Leone DRG,Sonja SAM,Kat BRD,Livia DNC
Livia PLD,Leone GNB,Blyze SCH,Celaena AST,Lloyd DRG,Prims SAM,Sonja MCH,Arg SMN
Blyze PLD,Sonja GNB,Kat WHM,Livia AST,Lloyd DRG,Prims SAM,Arg SMN,Leone RDM
Livia PLD,Prims DRK,Blyze WHM,Celaena AST,Arg DRG,Leone NIN,Kat BRD,Sonja RDM
Celaena PLD,Leone GNB,Kat WHM,Livia AST,Blyze MNK,Prims SAM,Sonja BLM,Arg SMN
Sonja WAR,Prims DRK,Celaena WHM,Blyze AST,Livia DRG,Leone NIN,Kat DNC,Arg SMN
Prims PLD,Sonja DRK,Celaena WHM,Blyze AST,Leone MNK,Lloyd DRG,Kat BRD,Livia DNC
Sonja PLD,Arg DRK,Celaena WHM,Livia AST,Lloyd DRG,Prims SAM,Kat DNC,Leone RDM
Prims PLD,Arg DRK,Celaena WHM,Livia AST,Leone MNK,Blyze NIN,Sonja BRD,Kat DNC
Livia PLD,Prims DRK,Blyze SCH,Celaena AST,Lloyd DRG,Leone NIN,Sonja DNC,Arg SMN
Celaena PLD,Prims DRK,Blyze SCH,Livia AST,Lloyd DRG,Sonja SAM,Arg SMN,Kat RDM
Livia PLD,Sonja WAR,Celaena WHM,Blyze AST,Lloyd DRG,Leone NIN,Kat DNC,Arg SMN
Sonja WAR,Arg DRK,Celaena WHM,Blyze AST,Leone MNK,Prims SAM,Livia DNC,Kat RDM
Celaena PLD,Leone GNB,Kat WHM,Livia AST,Blyze NIN,Prims SAM,Sonja BRD,Arg SMN
Prims PLD,Arg DRK,Celaena WHM,Livia AST,Blyze MNK,Leone NIN,Kat BRD,Sonja SMN
